GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1040200101,52,100198,Nikki McCray,1611661325,Indiana Fever,1,12,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-77,-23,1,1,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,67,100198,Nikki McCray,1611661325,Indiana Fever,1,11,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,-19,1,0,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,73,100198,Nikki McCray,1611661325,Indiana Fever,1,10,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,115,-29,1,1,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,134,100198,Nikki McCray,1611661325,Indiana Fever,1,2,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-13,1,1,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,169,100198,Nikki McCray,1611661325,Indiana Fever,1,1,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,-13,1,0,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,138,100198,Nikki McCray,1611661325,Indiana Fever,1,1,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,-13,1,0,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,211,100198,Nikki McCray,1611661325,Indiana Fever,2,13,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,85,-13,1,0,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,279,100198,Nikki McCray,1611661325,Indiana Fever,2,6,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,-13,1,0,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200101,281,100198,Nikki McCray,1611661325,Indiana Fever,2,6,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-77,-19,1,0,20020816,IND,NYL,2002-03
Shot Chart Detail,1040200102,18,100198,Nikki McCray,1611661325,Indiana Fever,1,17,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,44,100198,Nikki McCray,1611661325,Indiana Fever,1,14,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,54,100198,Nikki McCray,1611661325,Indiana Fever,1,12,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,71,100198,Nikki McCray,1611661325,Indiana Fever,1,10,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,76,100198,Nikki McCray,1611661325,Indiana Fever,1,9,58,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-79,101,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,175,100198,Nikki McCray,1611661325,Indiana Fever,1,1,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,3,129,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,144,100198,Nikki McCray,1611661325,Indiana Fever,1,1,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),16-24 ft.,20,-206,4,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,252,100198,Nikki McCray,1611661325,Indiana Fever,2,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-122,177,1,0,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200102,295,100198,Nikki McCray,1611661325,Indiana Fever,2,4,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020818,NYL,IND,2002-03
Shot Chart Detail,1040200103,22,100198,Nikki McCray,1611661325,Indiana Fever,1,16,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-134,15,1,1,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,113,100198,Nikki McCray,1611661325,Indiana Fever,1,5,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-113,4,1,0,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,180,100198,Nikki McCray,1611661325,Indiana Fever,1,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-170,148,1,0,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,142,100198,Nikki McCray,1611661325,Indiana Fever,1,1,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,148,100198,Nikki McCray,1611661325,Indiana Fever,1,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,216,66,1,0,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,156,100198,Nikki McCray,1611661325,Indiana Fever,1,0,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,207,95,1,1,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,305,100198,Nikki McCray,1611661325,Indiana Fever,2,3,35,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-86,61,1,1,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,324,100198,Nikki McCray,1611661325,Indiana Fever,2,1,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,117,61,1,1,20020820,NYL,IND,2002-03
Shot Chart Detail,1040200103,326,100198,Nikki McCray,1611661325,Indiana Fever,2,0,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-149,171,1,0,20020820,NYL,IND,2002-03
