GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1020400008,27,100656,Ruth Riley,1611661321,Detroit Shock,1,16,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,0,161,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,31,100656,Ruth Riley,1611661321,Detroit Shock,1,16,1,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,0,138,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,44,100656,Ruth Riley,1611661321,Detroit Shock,1,14,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,3,1,1,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,60,100656,Ruth Riley,1611661321,Detroit Shock,1,12,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,112,100656,Ruth Riley,1611661321,Detroit Shock,1,5,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-33,153,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,172,100656,Ruth Riley,1611661321,Detroit Shock,1,3,6,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,11,164,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,137,100656,Ruth Riley,1611661321,Detroit Shock,1,2,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-84,46,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,139,100656,Ruth Riley,1611661321,Detroit Shock,1,2,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-23,168,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,248,100656,Ruth Riley,1611661321,Detroit Shock,2,12,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,-5,1,0,20040522,SAN,DET,2004-05
Shot Chart Detail,1020400008,265,100656,Ruth Riley,1611661321,Detroit Shock,2,10,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,36,155,1,1,20040522,SAN,DET,2004-05
