GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041500131,84,200691,Mistie Bass,1611661317,Phoenix Mercury,1,1,10,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,0,20150917,PHO,TUL,2015,104150013184,5300,validated,,0,matched,playbyplayv2,1611661321,200691|201049|201507|201886|204297,complete,playbyplay_inferred,100888|202640|203029|203037|204331,complete,playbyplay_inferred
Shot Chart Detail,1041500131,109,200691,Mistie Bass,1611661317,Phoenix Mercury,2,8,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20150917,PHO,TUL,2015,1041500131109,6850,validated,201507,1,matched,playbyplayv2,1611661321,200673|200691|201049|201507|204297,complete,playbyplay_inferred,201050|203029|203037|203824|203835,complete,playbyplay_inferred
Shot Chart Detail,1041500131,295,200691,Mistie Bass,1611661317,Phoenix Mercury,3,3,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,106,22,1,0,20150917,PHO,TUL,2015,1041500131295,16060,validated,,0,matched,playbyplayv2,1611661321,200673|200691|201049|201507|203398,complete,playbyplay_inferred,100888|201907|202640|203029|203824,complete,playbyplay_inferred
Shot Chart Detail,1041500131,374,200691,Mistie Bass,1611661317,Phoenix Mercury,4,7,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,7,1,1,20150917,PHO,TUL,2015,1041500131374,19780,validated,204297,1,matched,playbyplayv2,1611661321,100937|200691|201049|201507|204297,complete,playbyplay_inferred,100888|201050|202640|203824|203835,complete,playbyplay_inferred
Shot Chart Detail,1041500131,380,200691,Mistie Bass,1611661317,Phoenix Mercury,4,6,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0,20150917,PHO,TUL,2015,1041500131380,20370,validated,,0,matched,playbyplayv2,1611661321,100937|200691|201049|201507|204297,complete,playbyplay_inferred,100888|201050|202640|203824|203835,complete,playbyplay_inferred
Shot Chart Detail,1041500132,91,200691,Mistie Bass,1611661317,Phoenix Mercury,1,1,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,15,1,0,20150919,TUL,PHO,2015,104150013291,4810,validated,,0,matched,playbyplayv2,1611661321,200691|201049|201507|201886|204297,complete,playbyplay_inferred,201050|202640|203037|203835|204331,complete,playbyplay_inferred
Shot Chart Detail,1041500132,332,200691,Mistie Bass,1611661317,Phoenix Mercury,4,9,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,2,154,1,1,20150919,TUL,PHO,2015,1041500132332,18170,validated,201507,1,matched,playbyplayv2,1611661321,200673|200691|201049|201507|203398,complete,playbyplay_inferred,201907|203824|203835|204320|204331,complete,playbyplay_inferred
Shot Chart Detail,1041500132,472,200691,Mistie Bass,1611661317,Phoenix Mercury,4,0,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,14,1,0,20150919,TUL,PHO,2015,1041500132472,23940,validated,,0,matched,playbyplayv2,1611661321,100937|200691|203839|204297|204336,complete,playbyplay_inferred,203037|203835|203849|204320|204331,complete,playbyplay_inferred
Shot Chart Detail,1041500211,71,200691,Mistie Bass,1611661317,Phoenix Mercury,1,1,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,29,159,1,0,20150924,MIN,PHO,2015,104150021171,5200,validated,,0,matched,playbyplayv2,1611661324,200676|200691|201049|201507|201886,complete,playbyplay_inferred,100915|100944|201480|202632|203813,complete,playbyplay_inferred
Shot Chart Detail,1041500212,87,200691,Mistie Bass,1611661317,Phoenix Mercury,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,48,-144,463,1,0,20150927,PHO,MIN,2015,104150021287,6000,validated,,0,matched,playbyplayv2,1611661324,200676|200691|201049|201507|201886,complete,playbyplay_inferred,100944|200671|201904|203016|203813,complete,playbyplay_inferred
