GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022300006,134,1630386,Awak Kuier,1611661321,Dallas Wings,1,2,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,22,-226,28,1,0,20230520,DAL,ATL,2023,1022300006134,4760,validated,,0,matched,playbyplayv2,1611661330,203827|1629481|1630101|1630149|1630386,complete,playbyplay_inferred,202658|204323|1629476|1631009|1631044,complete,playbyplay_inferred
Shot Chart Detail,1022300019,167,1630386,Awak Kuier,1611661321,Dallas Wings,2,7,18,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-57,141,1,0,20230528,CHI,DAL,2023,1022300019167,7620,validated,,0,matched,playbyplayv2,1611661329,203827|1629481|1630386|1631007|1641652,complete,playbyplay_inferred,204322|1627675|1629497|1630389|1631021,complete,playbyplay_inferred
Shot Chart Detail,1022300023,94,1630386,Awak Kuier,1611661321,Dallas Wings,1,3,10,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,55,91,1,0,20230530,DAL,MIN,2023,102230002394,4100,validated,,0,matched,playbyplayv2,1611661324,1629480|1630101|1630149|1630386|1631029,complete,playbyplay_inferred,203825|1627676|1629483|1629491|1631263,complete,playbyplay_inferred
Shot Chart Detail,1022300023,229,1630386,Awak Kuier,1611661321,Dallas Wings,2,3,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-79,225,1,0,20230530,DAL,MIN,2023,1022300023229,10090,validated,,0,matched,playbyplayv2,1611661324,203827|1629481|1630386|1631007|1641652,complete,playbyplay_inferred,203825|1627676|1629483|1629491|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022300023,411,1630386,Awak Kuier,1611661321,Dallas Wings,3,0,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-165,83,1,0,20230530,DAL,MIN,2023,1022300023411,17960,validated,,0,matched,playbyplayv2,1611661324,1629480|1630149|1630386|1631007|1631029,complete,playbyplay_inferred,203825|1627672|1627676|1629491|1641657,complete,playbyplay_inferred
Shot Chart Detail,1022300032,394,1630386,Awak Kuier,1611661321,Dallas Wings,4,9,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,246,1,0,20230604,CON,DAL,2023,1022300032394,18590,validated,,0,matched,playbyplayv2,1611661323,1629480|1629481|1630149|1630386|1631007,complete,playbyplay_inferred,204296|1628280|1629567|1630096|1631135,complete,playbyplay_inferred
Shot Chart Detail,1022300032,494,1630386,Awak Kuier,1611661321,Dallas Wings,4,1,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-233,51,1,0,20230604,CON,DAL,2023,1022300032494,22980,validated,,0,matched,playbyplayv2,1611661323,203827|1629481|1630149|1630386|1631007,complete,playbyplay_inferred,201886|203026|203826|1628280|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022300032,500,1630386,Awak Kuier,1611661321,Dallas Wings,4,1,6,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,9,1,1,20230604,CON,DAL,2023,1022300032500,23340,validated,1629481,1,matched,playbyplayv2,1611661323,203827|1629481|1630149|1630386|1631007,complete,playbyplay_inferred,201886|203026|203826|1628280|1629567,complete,playbyplay_inferred
Shot Chart Detail,1022300039,88,1630386,Awak Kuier,1611661321,Dallas Wings,1,3,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,22,1,0,20230607,DAL,PHO,2023,102230003988,3990,validated,,0,matched,playbyplayv2,1611661317,203827|1629481|1630149|1630386|1631007,complete,playbyplay_inferred,100940|1629482|1629488|1630134|1641690,complete,playbyplay_inferred
Shot Chart Detail,1022300046,384,1630386,Awak Kuier,1611661321,Dallas Wings,3,3,43,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,24,1,0,20230611,NYL,DAL,2023,1022300046384,15770,validated,,0,matched,playbyplayv2,1611661313,203824|1629481|1630149|1630386|1641652,complete,playbyplay_inferred,202664|203866|1627668|1627673|1629477,complete,playbyplay_inferred
